station_name,station_add,station_lat,station_lng,intersection_id,intersection_lat,intersection_lng,shortest_distance
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,278632503,40.6961134,-73.988653,7614.334999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,278634702,40.6925341,-73.9890601,7994.456999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,588036470,40.6910889,-73.986427,8047.618999999997
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,597844593,40.6929609,-73.9833513,7856.947999999997
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,597844596,40.6930266,-73.9831149,7713.068999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,597844756,40.6924916,-73.9905666,8162.743999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,597844772,40.6936062,-73.9835754,7782.028999999997
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,1258875373,40.6913337,-73.9820768,8508.839999999997
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,1258875489,40.6899251,-73.9813796,8341.537999999997
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,1258875710,40.6920539,-73.9824379,7844.298999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,1258875754,40.688872,-73.9808694,8216.676999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,1258945540,40.6932475,-73.9887372,7939.953999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,1258945651,40.693201,-73.9888695,7927.081999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,1258945659,40.693253,-73.988997,7914.292999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,1693893347,40.6931259,-73.9872481,7774.630999999997
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,2696777590,40.6899461,-73.983563,8173.991999999997
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,3026465132,40.6936053,-73.9833753,7645.051999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,3536386693,40.6932538,-73.9862175,7879.360999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,4526565698,40.693721,-73.9834313,7631.347999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,4735727610,40.6922318,-73.9872962,7874.132999999997
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,5009155051,40.694921,-73.9860671,7662.301999999997
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,6933321234,40.6910987,-73.9891992,8189.8929999999955
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,6993160951,40.6936085,-73.9842856,7722.151999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,9201526517,40.6961868,-73.9905921,7826.553999999999
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,9664385497,40.69496,-73.9889475,7724.361999999996
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,10001058440,40.6949359,-73.988697,8120.6119999999955
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,11381945329,40.695257,-73.9886807,8156.342999999995
UPS Customer Center,1430 Broadway,40.7537503,-73.9876996,11381945330,40.6961114,-73.9885861,7619.978999999997
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42464631,40.6920559,-73.9826228,8477.125
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42464823,40.6921704,-73.9891263,8947.896000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42464824,40.6918024,-73.9882134,8956.545000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42464827,40.6914546,-73.9873387,8873.272000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42464832,40.690663,-73.9853532,8852.009999999998
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42464834,40.690561,-73.985105,8875.811999999998
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42464836,40.690292,-73.984433,8812.608
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42464838,40.6901448,-73.9840629,8847.844000000001
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42464844,40.6897015,-73.9829511,8783.841
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42464847,40.689358,-73.982098,8865.282000000001
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42464848,40.6889411,-73.9810499,8765.841
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42466438,40.6887841,-73.9835721,8898.504
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42469226,40.6932563,-73.9881544,9119.207
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42469228,40.6922794,-73.9881997,9010.514000000001
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42476732,40.6946198,-73.9906274,8843.781000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42480566,40.693036,-73.984292,8507.255
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42480569,40.6930502,-73.9852301,8586.363
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42480571,40.693088,-73.986226,8670.435
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42481888,40.6950251,-73.9889427,8629.725000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42481889,40.6949665,-73.987162,8482.447000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42491554,40.6959659,-73.9845903,8159.475
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42491582,40.6911662,-73.9821756,8582.996
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42491585,40.6899297,-73.9815542,8647.928
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42491589,40.688761,-73.980843,8792.4
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42492210,40.6904673,-73.9878775,8992.551000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42492213,40.6898629,-73.9882859,9068.065000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42492415,40.696123,-73.9888829,8507.536000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42494919,40.6922042,-73.9862727,8769.623999999998
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42494920,40.6921587,-73.9852776,8685.573999999999
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42494921,40.6921272,-73.9843423,8608.399
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42494924,40.6920899,-73.9833969,8542.501
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42496432,40.691039,-73.9894028,9075.913000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42497737,40.6960551,-73.9871076,8361.312000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42502404,40.689222,-73.9846917,9004.722000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42510861,40.6901632,-73.9870995,9066.350000000004
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42515825,40.6903899,-73.9898327,9156.746000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42523094,40.6890086,-73.9861587,9070.861999999997
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42523684,40.6896291,-73.985733,8992.182999999997
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42523688,40.688451,-73.9827164,8979.605000000001
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42523691,40.6879371,-73.9813995,8895.331
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42523903,40.6905587,-73.9826854,8663.062999999998
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42530376,40.6961684,-73.9900623,8805.414000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42530379,40.695061,-73.9901161,8728.732000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,42533974,40.695022,-73.9907543,8782.843000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,278630368,40.692096,-73.9889495,8964.944000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,278630910,40.6909958,-73.9892384,9090.583000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,278631323,40.6903367,-73.9896591,9172.533000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,278632281,40.6925287,-73.9888795,9013.516000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,278632502,40.6950187,-73.9886923,9042.440000000004
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,278632503,40.6961134,-73.988653,8526.948000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,278634702,40.6925341,-73.9890601,8907.070000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,588036470,40.6910889,-73.986427,8954.182999999999
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,597844593,40.6929609,-73.9833513,8578.389
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,597844596,40.6930266,-73.9831149,8434.509999999998
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,597844756,40.6924916,-73.9905666,9075.357000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,597844772,40.6936062,-73.9835754,8503.47
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,1258875373,40.6913337,-73.9820768,8800.5
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,1258875489,40.6899251,-73.9813796,8633.198
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,1258875710,40.6920539,-73.9824379,8461.534
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,1258875754,40.688872,-73.9808694,8782.889000000001
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,1258945540,40.6932475,-73.9887372,8852.567000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,1258945651,40.693201,-73.9888695,8839.695000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,1258945659,40.693253,-73.988997,8826.906000000003
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,1693893347,40.6931259,-73.9872481,8687.244000000002
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,2696777590,40.6899461,-73.983563,8842.164
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,3026465132,40.6936053,-73.9833753,8366.492999999999
UPS Customer Center,49-10 27th St,40.7412377,-73.9432068,3536386693,40.6932538,-73.9862175,8688.885
