cartodb_id,bbl,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,tax_delinquency,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,net_inc_sqft,gross_exp_sqft,standard_address,inc_tar_info,inc_tar_units_0bed,inc_tar_units_1bed,inc_tar_units_2bed,inc_tar_units_3bed,inc_tar_units_4bed,floodplain_flag,applied_filters
9566406,3030510005,36047050500,Williamsburg/Greenpoint,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,1048950,90 MESEROLE NF LLC,8,2006,1,,,90 Meserole Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566407,3030510006,36047050500,Williamsburg/Greenpoint,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,1048950,90 MESEROLE NF LLC,8,2006,1,,,92 Meserole Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566408,3030510007,36047050500,Williamsburg/Greenpoint,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,1048950,90 MESEROLE NF LLC,8,2006,1,,,94 Meserole Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9557509,3030510008,36047050500,Williamsburg/Greenpoint,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,1048950,90 MESEROLE NF LLC,8,2006,1,,,96 Meserole Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9557513,3030510014,36047050500,Williamsburg/Greenpoint,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,713250,120 GERRY STREET HOUSING DEVELOPMENT FUN D CORP.,7,1920,1,,,110 Meserole Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566447,3030510034,36047050500,Williamsburg/Greenpoint,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,1,1063800,87 MONTROSE LLC,12,1920,1,29,23.3,87 Montrose Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9557622,3030510035,36047050500,Williamsburg/Greenpoint,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,625950,MONTROSE GROUP LLC,7,1910,1,,,85 Montrose Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9557630,3030520004,36047050500,Williamsburg/Greenpoint,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,646200,140 MANHATTAN LLC,8,1920,1,,,140 Manhattan Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566483,3030520025,36047050500,Williamsburg/Greenpoint,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,535500,120 GERRY STREET HOUSING DEVELOPMENT FUN D CORP.,6,1920,1,,,161 Graham Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566776,3030530010,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,1,955800,"168 MESEROLE BPC RETAIL PARTNERS, LLC",8,2004,1,,,168 Meserole Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566777,3030530011,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,917550,"168 MESEROLE BPC RETAIL PARTNERS, LLC",8,2004,1,,,170 Meserole Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9557722,3030530012,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,955800,"168 MESEROLE BPC RETAIL PARTNERS, LLC",8,2004,1,,,172 Meserole Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9557732,3030530019,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,905850,MAY REALTY LLC,7,2004,1,,,186 Meserole Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566780,3030530020,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,942300,"183-191 HUMBOLDT STREET, LLC",8,2007,1,,,188 Meserole Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566781,3030530022,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,951300,"183-191 HUMBOLDT STREET, LLC",8,2007,1,,,183 Humboldt Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566848,3030540019,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,585450,B TWO TWO LLC,8,1920,1,,,220 Bushwick Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566857,3030540036,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,999000,201 MONTROSE AVENUE LLC,8,2007,1,,,201 Montrose Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566858,3030547501,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,677702,UNAVAILABLE OWNER,8,2006,1,,,194 Meserole Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9558155,3030547503,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,2561516,UNAVAILABLE OWNER,30,2009,1,,,228 Bushwick Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566939,3030620022,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,907200,196 MONTROSE LLC,10,1920,1,,,196 Montrose Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9557818,3030620029,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,708750,"201 JOHNSON AVENUE REALTY, INC.",6,2005,1,,,201 Johnson Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9557822,3030620033,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,999900,191-193 JOHNSON REALTY LLC,8,2007,1,,,193 Johnson Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9557823,3030620034,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,837000,191-193 JOHNSON REALTY LLC,8,2007,1,,,191 Johnson Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566201,3030630017,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,1,1816650,RUTLEDGE REALTY LLC,20,1930,1,,,258 Bushwick Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9557901,3030630114,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,955800,UNAVAILABLE OWNER,8,2008,1,,,224 Montrose Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
9566204,3030630115,36047049300,Bushwick,City Council District 34,BK 01 - Greenpoint/Williamsburg,Brooklyn,New York City,1,,955800,UNAVAILABLE OWNER,8,2008,1,,,226 Montrose Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Borough is ""Brooklyn"""
