building_address,building_lat,building_lng,intersection_id,intersection_lat,intersection_lng,shortest_distance_meters
33 Bond Street,40.6882557,-73.9832149,1258875373,40.6913337,-73.9820768,522.54
33 Bond Street,40.6882557,-73.9832149,1258875489,40.6899251,-73.9813796,355.238
33 Bond Street,40.6882557,-73.9832149,1258875710,40.6920539,-73.9824379,574.08
33 Bond Street,40.6882557,-73.9832149,1258875754,40.688872,-73.9808694,230.377
33 Bond Street,40.6882557,-73.9832149,1258945540,40.6932475,-73.9887372,873.46
33 Bond Street,40.6882557,-73.9832149,1258945651,40.693201,-73.9888695,866.7710000000001
33 Bond Street,40.6882557,-73.9832149,1693893347,40.6931259,-73.9872481,794.8259999999999
33 Bond Street,40.6882557,-73.9832149,2696777590,40.6899461,-73.983563,253.299
33 Bond Street,40.6882557,-73.9832149,3026465132,40.6936053,-73.9833753,1184.696
33 Bond Street,40.6882557,-73.9832149,3536386693,40.6932538,-73.9862175,899.5559999999999
33 Bond Street,40.6882557,-73.9832149,4526565698,40.693721,-73.9834313,1601.3190000000002
33 Bond Street,40.6882557,-73.9832149,4735727610,40.6922318,-73.9872962,695.324
33 Bond Street,40.6882557,-73.9832149,5009155051,40.694921,-73.9860671,1092.091
33 Bond Street,40.6882557,-73.9832149,6933321234,40.6910987,-73.9891992,630.466
33 Bond Street,40.6882557,-73.9832149,6993160951,40.6936085,-73.9842856,1107.9479999999999
33 Bond Street,40.6882557,-73.9832149,10001058440,40.6949359,-73.988697,1060.3010000000002
33 Bond Street,40.6882557,-73.9832149,11381945329,40.695257,-73.9886807,1096.0320000000002
33 Bond Street,40.6882557,-73.9832149,11381945330,40.6961114,-73.9885861,1191.488
540 Fulton Street,40.688788,-73.98152,42464631,40.6920559,-73.9826228,410.476
540 Fulton Street,40.688788,-73.98152,42464823,40.6921704,-73.9891263,1014.774
540 Fulton Street,40.688788,-73.98152,42464824,40.6918024,-73.9882134,946.438
540 Fulton Street,40.688788,-73.98152,42464827,40.6914546,-73.9873387,863.165
540 Fulton Street,40.688788,-73.98152,42464832,40.690663,-73.9853532,801.038
540 Fulton Street,40.688788,-73.98152,42464834,40.690561,-73.985105,823.9459999999999
540 Fulton Street,40.688788,-73.98152,42464836,40.690292,-73.984433,759.877
540 Fulton Street,40.688788,-73.98152,42464838,40.6901448,-73.9840629,557.184
