X,Y
996939,230455
995036,217074
981866,198456
996826,238604
994142,229026
986870,198899
982947,208150
998015,234309
990309,203829
997853,221013
996994,232252
999236,241774
1002219,250285
986399,217643
996965,221508
997999,228859
984651,210120
995036,217074
997221,221970
997128,237003
999669,239423
987951,217675
1002644,250704
988762,207926
984518,202110
1002623,247167
982811,205535
1003645,253857
997221,221970
997562,239981
1000257,245211
1004246,253051
995036,217074
982998,206461
998855,241981
1001561,246191
994678,229458
986611,210929
988725,198985
985068,214476
990527,223515
989653,223524
988087,207543
986611,210929
988937,204021
985176,204117
1002996,248159
987159,220252
990527,223515
999296,224166
989937,203747
990761,203863
985457,210372
999458,240752
1000414,232663
988696,205389
